,lead
0,8-4298
1,6-2170
2,8-4572
3,8-5956
4,3-0909
5,6-8224
6,6-0855
7,1-7465
8,8-0586
9,2-2550
10,8-2492
11,8-6536
12,4-6521
13,8-2333
14,7-6301
15,3-1992
16,5-2445
17,2-5580
18,2-8074
19,5-5297
20,5-9976
21,6-0722
22,1-8878
23,4-8307
24,3-5410
25,1-0579
26,2-6167
27,7-4509
28,8-2224
29,8-6060
30,8-1235
31,5-3157
32,6-8157
33,2-9194
34,8-3981
35,7-6620
36,4-5372
37,3-3900
38,6-0176
39,2-2586
40,4-7247
41,2-5200
42,5-9705
43,1-3795
44,1-7660
45,8-5320
46,8-1529
47,5-2957
48,7-3534
49,6-8993
50,8-3136
51,2-4573
52,8-8945
53,8-1358
54,6-8528
55,3-1573
56,3-1974
57,4-4385
58,7-3137
59,1-2047
60,8-6382
61,6-6266
62,3-5498
63,2-1288
64,7-4918
65,7-4605
66,2-8652
67,7-9814
68,4-4694
69,1-8855
70,3-2465
71,8-2684
72,5-6046
73,6-3998
74,7-8821
75,5-1140
76,8-4622
77,2-8396
78,2-7100
79,3-3655
80,2-1768
81,1-2872
82,8-5065
83,7-9775
84,1-3854
85,5-7718
86,4-7515
87,1-8332
88,1-4929
89,3-2390
90,7-8804
91,2-6464
92,7-7601
93,3-0442
94,3-5694
95,3-0036
96,6-7169
97,4-0006
98,6-2004
99,4-3244
100,4-2428
101,8-2746
102,7-0060
103,4-3812
104,1-9240
105,6-3249
106,3-9352
107,3-2184
108,3-6658
109,3-9396
110,8-1280
111,5-9047
112,2-3739
113,5-0619
114,3-4875
115,7-6832
116,7-2006
117,8-6419
118,4-8703
119,6-8644
120,1-7947
121,1-7048
122,4-4268
123,6-3977
124,4-9828
125,8-5225
126,7-0169
127,6-8386
128,7-2094
129,3-9071
130,1-4602
131,1-2651
132,6-8018
133,3-6177
134,5-9410
135,3-6033
136,8-6894
137,8-7757
138,7-9952
139,3-1823
140,3-6486
141,5-9409
142,4-7944
143,7-8668
144,5-1433
145,2-0428
146,1-2983
147,7-6163
148,2-9863
149,6-7747
150,7-1651
151,3-4828
152,2-7952
153,2-5731
154,1-5819
155,2-3805
156,2-9235
157,1-0326
158,5-3701
159,7-1196
160,2-8864
161,1-4667
162,8-9700
163,5-2842
164,4-1191
165,6-6251
166,1-8295
167,8-2069
168,4-8935
169,5-0143
170,4-5736
171,4-7683
172,2-5288
173,8-2645
174,5-7423
175,5-9752
176,7-8543
177,2-1076
178,3-8505
179,2-1561
180,3-0495
181,8-0840
182,7-4629
183,8-0981
184,7-7515
185,1-4070
186,8-4569
187,4-0969
188,4-6973
189,5-4885
190,7-8942
191,4-5127
192,3-1802
193,4-2325
194,1-0383
195,4-6485
196,8-0247
197,2-7956
198,7-4741
199,6-7632
200,6-1818
201,2-5277
202,8-5797
203,1-8731
204,2-1944
205,1-9764
206,4-7980
207,1-5414
208,5-3540
209,6-8948
210,3-5934
211,4-7189
212,7-4136
213,8-5664
214,3-6668
215,2-1946
216,8-4121
217,3-1661
218,4-3763
219,4-7619
220,1-8361
221,4-4575
222,5-4734
223,7-8051
224,6-2566
225,7-3928
226,3-7030
227,7-8396
228,2-7550
229,2-4825
230,5-6229
231,3-7375
232,5-9776
233,2-6664
234,6-6200
235,6-7475
236,7-2058
237,7-4627
238,6-6203
239,3-6894
240,3-7574
241,4-0005
242,5-9937
243,1-2413
244,1-6937
245,3-6584
246,2-0073
247,6-1370
248,2-1644
249,1-1787
250,4-4295
251,7-7901
252,2-6594
253,3-3404
254,6-5405
255,2-1077
256,4-9491
257,7-0730
258,4-3072
259,4-3326
260,4-5455
261,2-5866
262,3-2009
263,2-9310
264,8-1336
265,5-0945
266,3-2886
267,3-5090
268,7-1726
269,5-6669
270,2-0738
271,2-9641
272,7-3275
273,2-4677
274,4-6218
275,1-5237
276,3-9609
277,3-5296
278,2-7146
279,2-2189
280,7-5990
281,2-2302
282,1-5229
283,7-2480
284,5-9096
285,6-9371
286,3-4411
287,1-9665
288,8-1620
289,3-0760
290,8-9897
291,8-3973
292,6-2915
293,7-4679
294,7-9975
295,2-3163
296,5-3337
297,2-6041
298,5-0602
299,7-8923
300,4-6283
301,5-1983
302,5-3729
303,5-1123
304,2-0185
305,7-6175
306,5-5258
307,3-3648
308,5-3985
309,4-6224
310,5-0695
311,4-8979
312,6-4286
313,1-9049
314,4-3632
315,6-6805
316,8-6105
317,7-0746
318,4-9204
319,8-9365
320,5-6449
321,4-3701
322,6-1585
323,3-6095
324,5-1588
325,2-8654
326,1-5959
327,3-8256
328,4-6633
329,7-2831
330,8-7345
331,4-1319
332,3-7755
333,4-6304
334,3-6754
335,3-2898
